embedding_model,state,r2_readi,r2_svi,r2_sdi,r2_emb,n_outcomes,n_tracts
Clay-v1.5,NC,0.5556,0.2723,0.3889,0.4642,40,2647
Clay-v1.5,ND,0.3112,0.1012,0.1874,0.2113,40,225
Clay-v1.5,NE,0.5141,0.28,0.3525,0.3715,40,550
Clay-v1.5,NH,0.3765,0.1655,0.2032,0.2778,40,347
Clay-v1.5,NJ,0.5592,0.3113,0.4464,0.4784,40,2115
Clay-v1.5,NM,0.5367,0.2556,0.315,0.3227,40,592
Clay-v1.5,NV,0.5259,0.3442,0.4178,0.4245,40,765
Clay-v1.5,NY,0.497,0.2257,0.3772,0.4417,40,5016
Clay-v1.5,OH,0.6149,0.311,0.4689,0.4142,40,3142
Clay-v1.5,OK,0.5611,0.3313,0.3942,0.3468,40,1178
Clay-v1.5,OR,0.433,0.1403,0.1985,0.4118,33,980
Clay-v1.5,PA,0.6742,0.3751,0.5146,0.4406,5,3374
Clay-v1.5,RI,0.5149,0.4054,0.3998,0.4072,40,246
Clay-v1.5,SC,0.5598,0.2864,0.3862,0.3918,40,1312
Clay-v1.5,SD,0.4072,0.2018,0.2513,0.1662,33,242
Clay-v1.5,TN,0.5447,0.2601,0.3549,0.3988,33,1662
Clay-v1.5,TX,0.536,0.3084,0.3599,0.4587,33,5784
Clay-v1.5,UT,0.372,0.2248,0.2323,0.3674,40,710
Clay-v1.5,VA,0.518,0.1491,0.3296,0.4563,40,2162
Clay-v1.5,VT,0.3399,0.0734,0.0967,0.1938,33,191
Clay-v1.5,WA,0.4587,0.1388,0.2004,0.4532,33,1764
Clay-v1.5,WI,0.5683,0.2824,0.4295,0.4892,40,1472
Clay-v1.5,WV,0.5298,0.1708,0.3076,0.2567,40,545
Clay-v1.5,WY,0.2146,0.1263,0.0956,0.0378,33,147
OlmoEarth-1.2 Base,AL,0.578,0.2541,0.408,0.452,40,1411
OlmoEarth-1.2 Base,AR,0.5308,0.1996,0.3394,0.419,40,807
OlmoEarth-1.2 Base,AZ,0.4999,0.3386,0.3682,0.5233,40,1702
OlmoEarth-1.2 Base,CA,0.5549,0.3427,0.4292,0.5149,40,8818
OlmoEarth-1.2 Base,CO,0.4363,0.2135,0.2426,0.4543,33,1419
OlmoEarth-1.2 Base,DC,0.5639,0.3061,0.36,0.4253,40,206
OlmoEarth-1.2 Base,DE,0.433,0.1668,0.3564,0.3912,40,257
OlmoEarth-1.2 Base,FL,0.426,0.1989,0.2981,0.5171,33,5075
OlmoEarth-1.2 Base,GA,0.5473,0.2405,0.3749,0.5402,40,2783
OlmoEarth-1.2 Base,IA,0.52,0.1924,0.3604,0.3196,40,873
