group,variable,r2_mean,r2_std,indices
ACS,overcrowded_renter_pct,0.05338906492314097,0.07113153731180431,"SDI, SVI"
ACS,educ_grade8_pct,0.04675979154876262,0.0371758663831062,SDI
ACS,unemployment_pct,0.045821604780521,0.03455790666585837,"ADI, SVI"
ACS,not_in_labor_force_pct,0.045821604780521,0.03455790666585837,SDI
ACS,educ_no_schooling_pct,0.04411176937631676,0.03054173390868165,"ADI, SDI"
ACS,owner_occupied_no_vehicle_pct,0.04323511156239841,0.060949103872733466,ADI
ACS,educ_some_college_ge1yr_pct,0.04300936131567974,0.04054433085939947,ADI
ACS,educ_grade12_no_diploma_pct,0.038908875667695006,0.013696878872721037,SDI
ACS,occ_female_education_legal_arts_pct,0.03822988963928005,0.020583827714234636,ADI
PLACES,MAMMOUSE,0.037121250947990035,0.037539773305960665,""
ACS,occ_female_healthcare_practitioners_pct,0.036980149499275326,0.027261661588037046,ADI
ACS,educ_associates_pct,0.0351920952688219,0.038579838581850046,ADI
ACS,educ_grade9_pct,0.03506442581874789,0.015995787799038992,SDI
ACS,overcrowded_owner_pct,0.03453761113090772,0.06753327432347246,"SDI, SVI"
ACS,educ_some_college_lt1yr_pct,0.03417749945506667,0.029526893389531225,ADI
ACS,occ_female_computer_engineering_science_pct,0.026944784302348236,0.015092801968028341,ADI
ACS,educ_grade6_pct,0.024826600839905687,0.02605583417949701,"ADI, SDI"
ACS,group_quarters_pct,0.02442258602909748,0.0191833070119541,SVI
ACS,occ_male_service_pct,0.0224912547480828,0.01817240954446163,ADI
ACS,occ_female_service_pct,0.01719258240955428,0.01378075361666197,ADI
PLACES,ACCESS2,0.014866420782922617,0.2301781865879976,""
ACS,crowded_b25014_pct,0.01465922155612267,0.04021734751620697,ADI
ACS,occ_male_mgmt_business_science_arts_pct,0.0103272879006439,0.026073056363296716,ADI
ACS,occ_male_healthcare_practitioners_pct,-0.0007074904449940744,0.02001180659485274,ADI
ACS,overcrowded_owner_1_to_1_5_per_room_pct,-0.0012481325097367213,0.027761829470597233,ADI
ACS,occ_male_sales_office_pct,-0.004767051057961935,0.017195036039723378,ADI
ACS,educ_grade7_pct,-0.0049360491644434125,0.008029664208661073,"ADI, SDI"
ACS,educ_grade5_pct,-0.008106540775527638,0.031230013725235047,"ADI, SDI"
ACS,overcrowded_owner_1_5_to_2_per_room_pct,-0.009377617868293896,0.013384104021884904,ADI
ACS,single_parent_male_hh_pct,-0.009846929001794447,0.001528625831075039,"SDI, SVI"
ACS,occ_male_business_financial_pct,-0.009878362404543251,0.009153795890746871,ADI
ACS,occ_female_sales_office_pct,-0.012313834382681854,0.007649323614354069,ADI
ACS,lep_spanish_native_not_well_pct,-0.012596746560187343,0.012476587997131312,SVI
PLACES,BINGE,-0.012727019669477068,0.038780466264563496,""
ACS,overcrowded_owner_2plus_per_room_pct,-0.013313730578493988,0.02032158776064547,ADI
ACS,occ_male_education_legal_arts_pct,-0.01580963305171359,0.011206676465874024,ADI
ACS,lep_asian_pac_foreign_not_well_pct,-0.01736333067845839,0.06636469199975419,SVI
ACS,occ_male_computer_engineering_science_pct,-0.01864857890416536,0.02276381238432811,ADI
ACS,educ_grade3_pct,-0.0208924916162061,0.014871456603762734,"ADI, SDI"
ACS,educ_grade4_pct,-0.021076356116587112,0.009648045272626067,"ADI, SDI"
ACS,lep_asian_pac_foreign_not_at_all_pct,-0.022888444334901115,0.040423794215818376,SVI
ACS,lep_indo_euro_native_not_well_pct,-0.026020098440541695,0.019647226652839567,SVI
ACS,income_disparity_ratio,-0.027150096760549913,0.05319171458523231,ADI
ACS,lep_spanish_native_not_at_all_pct,-0.031381459105645625,0.02868438059562458,SVI
ACS,uninsured_pct,-0.035584095085973336,0.16988940070743258,SVI
ACS,educ_kindergarten_pct,-0.036758158933296904,0.012037918682328922,"ADI, SDI"
ACS,lep_other_foreign_not_well_pct,-0.03698107989715602,0.02539467999690371,SVI
PLACES,CASTHMA,-0.042601554652525665,0.08572129352433032,""
ACS,educ_nursery_pct,-0.04397651219365288,0.018710222035423916,"ADI, SDI"
ACS,lep_other_foreign_not_at_all_pct,-0.045025243069810636,0.018013034068998325,SVI
ACS,lep_indo_euro_native_not_at_all_pct,-0.054457319175453246,0.01286559918798841,SVI
ACS,lep_other_native_not_well_pct,-0.06086381840792088,0.09900404963103851,SVI
ACS,educ_grade2_pct,-0.06349252465955857,0.060874931584043904,"ADI, SDI"
ACS,educ_grade1_pct,-0.06610373671904535,0.04369030365877473,"ADI, SDI"
ACS,lep_asian_pac_native_not_at_all_pct,-0.07329053907681227,0.08271767353639126,SVI
PLACES,DEPRESSION,-0.08921655259372592,0.13845404893387311,""
ACS,lep_spanish_foreign_not_well_pct,-0.12831645201421918,0.09187848060087184,SVI
ACS,lep_indo_euro_foreign_not_at_all_pct,-0.17367654598580434,0.17452740021330126,SVI
ACS,lep_indo_euro_foreign_not_well_pct,-0.19832744703157917,0.3639024620484334,SVI
ACS,lep_other_native_not_at_all_pct,-0.2648679099358342,0.40329979909627345,SVI
ACS,lep_spanish_foreign_not_at_all_pct,-0.28694020277910687,0.1610314668403473,SVI
