group,variable,r2_mean,r2_std,indices
ACS,crowded_housing_pct,0.12389119600516167,0.0627125095381373,"SDI, SVI"
ACS,educ_some_college_lt1yr_pct,0.11825911315812995,0.03252182104422666,ADI
ACS,cost_burdened_rent_40_49_pct,0.11598062459952205,0.023166654884194515,SVI
ACS,lep_asian_pac_native_not_well_pct,0.10819114891695976,0.09467750619540918,SVI
ACS,educ_associates_pct,0.10612570750135608,0.024037233949631934,ADI
ACS,overcrowded_renter_pct,0.10076118533193253,0.06783082220164975,"SDI, SVI"
ACS,educ_no_schooling_pct,0.10006213804783273,0.052638640172843094,"ADI, SDI"
ACS,unemployment_pct,0.09423418661462742,0.0477890098829111,"ADI, SVI"
ACS,not_in_labor_force_pct,0.09423418661462742,0.0477890098829111,SDI
ACS,occ_female_computer_engineering_science_pct,0.09266583644130262,0.008745827871820473,ADI
ACS,occ_female_education_legal_arts_pct,0.09261979546722657,0.045091237967916385,ADI
ACS,educ_some_college_ge1yr_pct,0.08858647692753208,0.04099679613368601,ADI
ACS,educ_grade6_pct,0.08718716291100939,0.06656179616456491,"ADI, SDI"
ACS,educ_grade12_no_diploma_pct,0.08710843633744089,0.02931821977845625,SDI
ACS,occ_female_healthcare_practitioners_pct,0.08618831054080041,0.0541976396825032,ADI
ACS,educ_grade8_pct,0.08535778251229753,0.03615084202863276,SDI
PLACES,ACCESS2,0.08497871126669317,0.13732874114408025,""
ACS,occ_male_mgmt_business_science_arts_pct,0.08203203664415779,0.005848787005096528,ADI
ACS,overcrowded_owner_pct,0.08113561631834172,0.02802104476768153,"SDI, SVI"
ACS,owner_occupied_no_vehicle_pct,0.0691728361711718,0.08270982709943352,ADI
ACS,uninsured_pct,0.06857377801770534,0.21800915414886043,SVI
ACS,crowded_b25014_pct,0.0640484522290495,0.028341449442812423,ADI
ACS,occ_male_service_pct,0.05858424651706033,0.004876979535380687,ADI
PLACES,BINGE,0.05787330587394648,0.18279031146976887,""
ACS,occ_female_service_pct,0.054782093716878276,0.044933112757167416,ADI
ACS,occ_male_sales_office_pct,0.05088382404314327,0.00970853514461761,ADI
ACS,overcrowded_owner_1_to_1_5_per_room_pct,0.04984250821426843,0.028064272605425357,ADI
ACS,lep_asian_pac_native_not_at_all_pct,0.04035800001741319,0.017934181227752578,SVI
ACS,educ_grade7_pct,0.03670465242930725,0.015398984210657567,"ADI, SDI"
ACS,educ_grade5_pct,0.03531377483360978,0.038417318001007825,"ADI, SDI"
ACS,income_disparity_ratio,0.03308508588545833,0.023889729206792908,ADI
ACS,educ_grade3_pct,0.02496393081001893,0.03751083378629186,"ADI, SDI"
PLACES,DEPRESSION,0.022344714312834933,0.19011860840508754,""
ACS,educ_grade4_pct,0.014420421781244697,0.026107182310796243,"ADI, SDI"
ACS,occ_male_healthcare_practitioners_pct,0.011732932119469375,0.011646918963143323,ADI
ACS,occ_male_computer_engineering_science_pct,0.0011272135137773587,0.011747849649664016,ADI
ACS,single_parent_male_hh_pct,-0.001102810597410886,0.006393533281670462,"SDI, SVI"
ACS,overcrowded_owner_1_5_to_2_per_room_pct,-0.005542237800664318,0.013874886823691562,ADI
ACS,occ_male_business_financial_pct,-0.00859090670183078,0.01506546386100706,ADI
ACS,overcrowded_owner_2plus_per_room_pct,-0.01075101313412632,0.007698723483220797,ADI
ACS,occ_male_education_legal_arts_pct,-0.012440245795362204,0.010554872917144886,ADI
ACS,lep_spanish_native_not_well_pct,-0.012753244553586196,0.05390105976154972,SVI
ACS,educ_grade2_pct,-0.01470962323177354,0.053635192674620635,"ADI, SDI"
ACS,lep_asian_pac_foreign_not_well_pct,-0.01762097675660652,0.05191505917987315,SVI
ACS,occ_female_sales_office_pct,-0.018670451406228583,0.0248301626701983,ADI
ACS,lep_asian_pac_foreign_not_at_all_pct,-0.019633649858278403,0.027459999763944653,SVI
ACS,lep_other_foreign_not_well_pct,-0.04110775000677389,0.03947857792333185,SVI
ACS,educ_grade1_pct,-0.044917977102750806,0.06485204346981265,"ADI, SDI"
ACS,educ_nursery_pct,-0.045895002053371804,0.024737062812867264,"ADI, SDI"
ACS,lep_spanish_native_not_at_all_pct,-0.04741103402655047,0.0602101644586776,SVI
ACS,lep_indo_euro_native_not_well_pct,-0.04904921187935605,0.030057174731871236,SVI
ACS,lep_other_native_not_well_pct,-0.05271026039520417,0.05728186972222186,SVI
ACS,educ_kindergarten_pct,-0.05947618846228546,0.060320302708807276,"ADI, SDI"
ACS,lep_other_foreign_not_at_all_pct,-0.06443764291811735,0.0425592762387679,SVI
ACS,lep_spanish_foreign_not_well_pct,-0.12570379566252515,0.09292305795554609,SVI
ACS,lep_indo_euro_native_not_at_all_pct,-0.13412526975690406,0.1279012402129724,SVI
ACS,lep_indo_euro_foreign_not_at_all_pct,-0.22081017316854049,0.37174087667250183,SVI
ACS,lep_indo_euro_foreign_not_well_pct,-0.3374071472610939,0.3788834073816305,SVI
ACS,lep_spanish_foreign_not_at_all_pct,-0.35397748636400395,0.3881171304022603,SVI
ACS,lep_other_native_not_at_all_pct,-0.3630390269669438,0.5709539936781657,SVI
