group,variable,r2_mean,r2_std,indices
ACS,crowded_housing_pct,0.0803065098155954,0.07920045268323758,"SDI, SVI"
ACS,overcrowded_renter_pct,0.06409731621657329,0.06416117446271206,"SDI, SVI"
ACS,educ_grade8_pct,0.06201334568968071,0.058962409776722895,SDI
ACS,occ_female_education_legal_arts_pct,0.06081141160110411,0.022052288596766757,ADI
ACS,educ_some_college_ge1yr_pct,0.056514841461820266,0.043956180164694394,ADI
ACS,educ_no_schooling_pct,0.05621490755134373,0.028894777643396263,"ADI, SDI"
ACS,educ_grade12_no_diploma_pct,0.0546220503783881,0.010867820972495466,SDI
ACS,owner_occupied_no_vehicle_pct,0.05289767724146362,0.06558677612040395,ADI
ACS,occ_female_healthcare_practitioners_pct,0.05221798328879679,0.035041371586375596,ADI
ACS,educ_grade9_pct,0.05211052203301327,0.02519781432019802,SDI
ACS,educ_associates_pct,0.04890250070643003,0.03111527944218185,ADI
ACS,unemployment_pct,0.04820572354657841,0.04354025101532509,"ADI, SVI"
ACS,not_in_labor_force_pct,0.04820572354657841,0.04354025101532509,SDI
ACS,overcrowded_owner_pct,0.0474161926861361,0.0569692273799627,"SDI, SVI"
ACS,educ_some_college_lt1yr_pct,0.04704229046581152,0.03181884867373254,ADI
ACS,occ_female_computer_engineering_science_pct,0.046941716755269904,0.018080379709787858,ADI
PLACES,ACCESS2,0.04059383130295633,0.2511201588371549,""
PLACES,MAMMOUSE,0.038946668167230046,0.07058785462912216,""
ACS,occ_male_service_pct,0.0350394051207088,0.015239867249732275,ADI
ACS,occ_female_service_pct,0.03319899956820327,0.019843395309765453,ADI
ACS,occ_male_mgmt_business_science_arts_pct,0.029071452160532463,0.027983124635311635,ADI
ACS,educ_grade6_pct,0.027818914639350868,0.027743942278269634,"ADI, SDI"
PLACES,BINGE,0.02466629312532831,0.03544282569510499,""
ACS,crowded_b25014_pct,0.01860988514639772,0.03433872815462402,ADI
PLACES,CASTHMA,0.017171476665998785,0.03146212172488071,""
ACS,uninsured_pct,0.010921781364730477,0.171147953893085,SVI
ACS,occ_male_sales_office_pct,0.009102871211637841,0.013302438606386321,ADI
ACS,occ_male_healthcare_practitioners_pct,0.008498405152541966,0.014195257877661448,ADI
ACS,overcrowded_owner_1_to_1_5_per_room_pct,0.0023591364438427798,0.024232589366674554,ADI
ACS,educ_grade7_pct,-0.0007115150994885467,0.016627616874253737,"ADI, SDI"
ACS,educ_grade5_pct,-0.0030463311895016386,0.01941377139829277,"ADI, SDI"
ACS,lep_spanish_native_not_well_pct,-0.006529312616316551,0.008064314485536498,SVI
ACS,single_parent_male_hh_pct,-0.008599320701027136,0.002925327339720415,"SDI, SVI"
ACS,occ_male_business_financial_pct,-0.008818365950996675,0.007656355063272741,ADI
ACS,occ_male_computer_engineering_science_pct,-0.011979099402530235,0.014889256525186051,ADI
ACS,educ_grade3_pct,-0.013731926078027734,0.014716767929067513,"ADI, SDI"
ACS,overcrowded_owner_1_5_to_2_per_room_pct,-0.014964060922181454,0.013277194595635842,ADI
ACS,occ_female_sales_office_pct,-0.016272922349934094,0.008472648864562954,ADI
ACS,overcrowded_owner_2plus_per_room_pct,-0.016288576561218848,0.030240833359356383,ADI
ACS,occ_male_education_legal_arts_pct,-0.0166698482267178,0.01218537287742908,ADI
ACS,lep_asian_pac_foreign_not_well_pct,-0.019354723190467403,0.06192801907536414,SVI
PLACES,DEPRESSION,-0.021635533374835834,0.1926624906355017,""
ACS,educ_grade4_pct,-0.022064319367340924,0.017173779934775868,"ADI, SDI"
ACS,income_disparity_ratio,-0.024567407412453224,0.06325387691877338,ADI
ACS,lep_spanish_native_not_at_all_pct,-0.027872168667612218,0.02495106433383959,SVI
ACS,lep_asian_pac_foreign_not_at_all_pct,-0.02918338072198188,0.033605234852316555,SVI
ACS,lep_indo_euro_native_not_well_pct,-0.03292338345925816,0.0279481118186828,SVI
ACS,educ_kindergarten_pct,-0.03605873923218152,0.011910231702698748,"ADI, SDI"
ACS,lep_other_foreign_not_well_pct,-0.03637606079654021,0.019716600951569865,SVI
ACS,lep_other_foreign_not_at_all_pct,-0.04154338017025094,0.010345013563782484,SVI
ACS,educ_grade1_pct,-0.04402179832185009,0.03194816443109298,"ADI, SDI"
ACS,educ_grade2_pct,-0.04516246316403207,0.03202512501060598,"ADI, SDI"
ACS,educ_nursery_pct,-0.04616153194215444,0.0208193181112001,"ADI, SDI"
ACS,lep_indo_euro_native_not_at_all_pct,-0.05237068478320657,0.012412311594536997,SVI
ACS,lep_asian_pac_native_not_at_all_pct,-0.0553075476537541,0.07511025977406031,SVI
ACS,lep_other_native_not_well_pct,-0.05589119504307869,0.07615249890678216,SVI
ACS,lep_other_native_not_at_all_pct,-0.11184278642850076,0.11543099483040435,SVI
ACS,lep_indo_euro_foreign_not_well_pct,-0.11563385460249231,0.19229301856166625,SVI
ACS,lep_spanish_foreign_not_well_pct,-0.13566389462231637,0.09817398172999432,SVI
ACS,lep_indo_euro_foreign_not_at_all_pct,-0.16961562601334612,0.18602197315217056,SVI
ACS,lep_spanish_foreign_not_at_all_pct,-0.372395304807679,0.2352944697427346,SVI
