group,variable,r2_mean,r2_std,indices
PLACES,BINGE,0.08753874940583192,0.044804461567835394,""
ACS,unemployment_pct,0.08402588751350097,0.01593886579696633,"ADI, SVI"
ACS,not_in_labor_force_pct,0.08402588751350097,0.01593886579696633,SDI
ACS,educ_some_college_lt1yr_pct,0.08040641956853103,0.02971090761460891,ADI
ACS,educ_grade9_pct,0.07958979125912391,0.024190990767878767,SDI
ACS,cost_burdened_rent_50plus_pct,0.0782534007941152,0.06414914714783078,SVI
ACS,lep_asian_pac_native_not_well_pct,0.07791908253369136,0.05764677967826212,SVI
ACS,educ_no_schooling_pct,0.07707417188909724,0.06359675519821523,"ADI, SDI"
ACS,occ_female_education_legal_arts_pct,0.07072466160571775,0.03803544367151107,ADI
ACS,educ_grade12_no_diploma_pct,0.06775468579086208,0.029202226547287984,SDI
ACS,crowded_housing_pct,0.06665785575216505,0.12127500636077684,"SDI, SVI"
ACS,occ_female_healthcare_practitioners_pct,0.06606733468075968,0.05109691094558308,ADI
ACS,educ_grade6_pct,0.06594339779155012,0.05578944688627981,"ADI, SDI"
PLACES,CASTHMA,0.06501867535821144,0.08692004496205194,""
ACS,occ_female_computer_engineering_science_pct,0.06434980013819898,0.022320085959273532,ADI
ACS,educ_associates_pct,0.0616890730016769,0.05057951220285173,ADI
ACS,educ_some_college_ge1yr_pct,0.05910375921903595,0.056901676046613954,ADI
ACS,overcrowded_renter_pct,0.05519669841874686,0.10401631877974299,"SDI, SVI"
ACS,occ_male_mgmt_business_science_arts_pct,0.053833995269753056,0.01585887243250209,ADI
ACS,occ_male_service_pct,0.050758583258015674,0.014937950880594594,ADI
ACS,overcrowded_owner_pct,0.04448803981350195,0.07723851904709272,"SDI, SVI"
ACS,occ_female_service_pct,0.04159807062007488,0.031587533681265406,ADI
ACS,crowded_b25014_pct,0.040099901059385726,0.03250061258896486,ADI
ACS,educ_grade8_pct,0.03306054844725885,0.015368838179313418,SDI
ACS,owner_occupied_no_vehicle_pct,0.0294455133950307,0.12937881964532622,ADI
ACS,educ_grade7_pct,0.021390576343491775,0.015396737913963782,"ADI, SDI"
ACS,occ_male_sales_office_pct,0.021284632233214373,0.01669611328987775,ADI
ACS,lep_asian_pac_native_not_at_all_pct,0.020443122981991003,0.05976533927924504,SVI
ACS,overcrowded_owner_1_to_1_5_per_room_pct,0.01971338062777943,0.02505518754727609,ADI
ACS,educ_grade5_pct,0.012541577177691221,0.03623114290154381,"ADI, SDI"
ACS,educ_grade3_pct,0.004055013018920662,0.03744888142415969,"ADI, SDI"
ACS,occ_male_healthcare_practitioners_pct,0.004048924560620004,0.022707929196761227,ADI
ACS,income_disparity_ratio,0.002658942665311792,0.021821265414093006,ADI
ACS,occ_female_sales_office_pct,-0.004828041644951031,0.013043768496610554,ADI
ACS,occ_male_business_financial_pct,-0.005034387029888077,0.008805132000849137,ADI
ACS,single_parent_male_hh_pct,-0.006752106563509064,0.007981780217361503,"SDI, SVI"
ACS,occ_male_education_legal_arts_pct,-0.010347864468530466,0.005178338395035592,ADI
ACS,lep_other_native_not_well_pct,-0.010751537784951748,0.049280127616955584,SVI
ACS,occ_male_computer_engineering_science_pct,-0.011948336936160198,0.021354149401705207,ADI
ACS,educ_grade2_pct,-0.01241032961261974,0.030152530409105243,"ADI, SDI"
ACS,overcrowded_owner_2plus_per_room_pct,-0.01495342201284149,0.01038393402300949,ADI
ACS,educ_grade4_pct,-0.016355993272671544,0.03880242458757014,"ADI, SDI"
ACS,lep_spanish_native_not_well_pct,-0.018992450604371824,0.05899727079247841,SVI
ACS,overcrowded_owner_1_5_to_2_per_room_pct,-0.022097276263804,0.02573994225479871,ADI
ACS,lep_asian_pac_foreign_not_well_pct,-0.02659652874316245,0.06193640609882208,SVI
ACS,lep_other_foreign_not_well_pct,-0.027288436772951098,0.028477091702623476,SVI
ACS,lep_indo_euro_native_not_well_pct,-0.0357853198362287,0.009952065876752045,SVI
ACS,educ_grade1_pct,-0.03635547218360182,0.043675362097242015,"ADI, SDI"
ACS,educ_nursery_pct,-0.03848073219000723,0.023919567612129468,"ADI, SDI"
ACS,lep_asian_pac_foreign_not_at_all_pct,-0.04856950641433844,0.05671115794683367,SVI
ACS,educ_kindergarten_pct,-0.05038134126015472,0.0456032635857808,"ADI, SDI"
ACS,lep_other_foreign_not_at_all_pct,-0.057227553524586305,0.032015043022695776,SVI
ACS,lep_indo_euro_native_not_at_all_pct,-0.0705733708326389,0.03998092030276524,SVI
ACS,lep_other_native_not_at_all_pct,-0.08661466961134412,0.04585131145215409,SVI
ACS,lep_spanish_foreign_not_well_pct,-0.09779778659245078,0.08133346163583594,SVI
ACS,lep_indo_euro_foreign_not_at_all_pct,-0.13822678798097465,0.18933241957026598,SVI
PLACES,DEPRESSION,-0.1443422518255873,0.13912690632990551,""
ACS,lep_spanish_native_not_at_all_pct,-0.15717101432030126,0.24052070669844314,SVI
ACS,lep_indo_euro_foreign_not_well_pct,-0.2330563900119897,0.4451683561825115,SVI
ACS,lep_spanish_foreign_not_at_all_pct,-0.23653765835176488,0.17333794902819352,SVI
