GEOID,prediction_id,status
44003022201,fe1f0845-17c1-48e6-8b6b-ad3db728b63d,done
44003020500,b7ad7afd-fb67-4c35-845a-e7c355aa1e23,done
44003020300,84a5615f-62b7-475a-a42a-ad499f05e31d,done
44003021401,85de3175-2c37-415b-8217-749e24c8ee0b,done
44003020101,62a6a145-08bf-4160-9693-8d1e0e68d0fe,done
44003020603,3e6e502d-f177-4c72-847c-282da0ed8a78,done
44003021200,8288b49a-3e9e-46af-b4a2-4d7359be5470,done
44003020901,5e8193d5-14fd-4e06-b456-b6e256ee0bf0,done
44003021402,c3d5e78a-5a08-4b4a-81c9-996d5cd1eb86,done
44007018100,d8b84cfe-3a17-44e5-a929-15972d83382f,done
44007018200,d4fe5ab8-e7b0-44e2-91d1-840d9d8542d2,done
44007018300,90714987-f019-453b-9ba7-1f02055c5861,done
44007013800,d219fb32-abd8-402a-af33-cd4b43ea6fd7,done
44001030300,2b3fbb64-699b-40c2-8f60-8626c0697c8c,done
44001030100,f337962e-c055-4c73-98d4-ec999ccc2172,done
44001030400,92e202ee-9b64-4ec1-8072-2bd2454c9b15,done
44001030200,368c79a8-4fc8-4e0c-ba4e-0ad7001e85bd,done
44001030500,7995c2cf-0d28-404b-9c8c-270666793139,done
44001030601,98868a65-8e4c-4d90-996a-c4b55fffe645,done
44001030602,4a32a6ec-21c1-4f34-ba44-4a7b910cf28b,done
44001030700,0cd20701-51fc-4b63-babc-c3ff57359a0c,done
44001030800,a3742ed5-9dfb-4e5a-9842-d9ebdb2ad104,done
44001030901,1a02c93d-0327-4793-a5f4-449e2a097397,done
44001030902,93ff1cb0-676a-4be3-aab4-46e4e1aa2132,done
44007010600,da8d7c03-1bca-44fd-b998-96ee43ca4010,done
44007010701,15bac0a4-157b-4f7e-8d2e-fb5b14a5cb5c,done
44007010702,e9759f9e-4a47-4c54-88d3-2cb77e148662,done
44007010800,4bdbf044-dc8c-41ba-94ff-b5bc5f7e442b,done
44007010900,a4f277cb-afe4-4bd2-90de-6008b98b5658,done
44007011000,707c193b-9ce3-40a6-9361-18ac05966f16,done
44007011100,9ed74ca2-3df4-4fbb-86c3-189d20630614,done
44007011403,6f2a2ffb-e681-4abf-a573-c87e040be456,done
44007011800,c1be6bf2-e797-4513-9682-0ddf79f67cc1,done
44007012000,276f7906-47f9-424c-9afa-cb338ead081d,done
44009050902,4f877f80-87c2-41ce-9f25-57e1454f0c7d,done
44009051503,aebddb6a-0066-4f9b-8d3f-3d2d2bc3f4e4,done
44009051101,7fe3778b-8c3a-4a49-887a-9a592c3f7903,done
44009051302,474021fc-27d7-43fc-8038-786e65b452af,done
44009050104,80cd6a5c-86b8-43c8-97c2-379498adef33,done
44009050802,47589bf1-a775-45d4-afef-db7ddb846641,done
44009051102,3224fb8c-5f34-4afc-b83c-7f3c4fa0e0c3,done
44009050301,d2bda72c-5a14-4016-95d6-62c1d3dfff6d,done
44009050401,c6b64879-36c8-432e-ad44-fa2176f9650b,done
44007012102,a61cfebc-ad2e-48ba-b629-4009d8786ee0,done
44007012402,4520f7dc-2a85-4d72-85fa-c523fd6fd352,submitted
44007012602,365cdb51-25d3-4ada-8c50-8f5ca44e07b4,done
44007012802,b2bb1882-4899-4305-9c9c-c7a44df585f4,done
44007013300,7c1dd01b-6007-4cd5-927d-9f8f3bd939b7,done
44007013400,cf4f239b-ace1-47ec-bdee-af77dd868546,done
44007013500,ff820b68-557c-4d69-af3e-2f69e73f9189,done
44007013600,502182c8-789f-4138-bb9c-872ebfa8dadc,done
44007013701,eb053b90-c822-4a13-b31f-98f6094f54de,done
44007013702,fec24822-58d4-4ef6-ae19-f27eda9add54,done
44007014100,bd92f30d-cd08-4963-921e-0aa02acba7d5,done
44007014200,76d4fc38-83a0-4884-8fe7-4f458663f420,done
44003021901,72060f6e-ec04-43eb-a39b-aa248811bbda,done
44003021902,22b5c2ed-7b53-477f-a5c6-bcae9f0d72fc,done
44003022202,2c03386c-4b0f-40ff-828c-3fcd35195263,done
44003021501,5732c51f-64f7-47a0-a6ab-6dc7c6eb6943,done
44003021700,d90fc90e-0029-49e7-879f-4c0be126ba93,done
44003021903,b2376fe3-34eb-48ef-aa81-66025e186582,done
44007014400,d7056ebc-e6b2-48f1-8a29-9bbc10496f44,done
44007014502,a326797b-8170-40a0-981f-48af42b8f10e,done
44007014800,22a1f2bd-12f7-4275-b3fe-898430869254,done
44007015000,b9fabd29-954f-49bb-8e85-637620313c17,done
44007015100,7c642b14-2475-454d-95d2-b0cc1d18bcbe,done
44007015200,4b61314c-7e16-4b64-921b-092bed72e387,done
44007015300,a417c3d4-a02a-45fb-9953-5d5d85ca8df0,done
44007015400,9a0c40bd-1738-4ffd-a57b-1f8a70b3ffa2,done
44007015500,9eb64e9c-9f2d-4d39-a968-883a0f5cd6f9,done
44007015700,11cc9a9d-172c-4577-84f8-4d5551354134,done
44007015800,72b074a4-ec58-442a-a6cf-51127e93165e,done
44007016000,4e39bdc2-a1fc-4fc6-8626-295524085892,done
